Label	Examples	Semantic Gloss
IncepOper1	get upper hand,adopt point of view,get cold feet,gain access,reach agreement,slip anarchy,make assumption,lauch attack,enter competition,suffer damage	Begin to do, perform, experience, carry out something; Signify the start of an action or event, linking the event's subject with its name using a light verb.
Real2	accomplish aim,accept apology,fall attack,receive bullet,ride car,embrace challenge,pay charge,justify confidence,meet criterion,overcome difficulty	Acting as expected; Something be realized as expected; Do with regard to A that which is normally expected of second participant.
Caus1Func0	open account,sign contract,set deadline,make difference,shoot film,take picture,make plan,draw portrait,undertake reform,build relation	To cause something to exist, the relation realizes the first argument of the base word as subject. 
Oper2	undergo analysis,draw applause,get abortion,have attention,get boost,take brunt,receive complaint,win confirmation,meet criticism,write exam	Perform, do, act something, the relation realizes the second argument of the base word as subject.
LiquFunc0	stop aggression,remove ambiguity,shake balance,break barrier,ruin career,explode claim,shred confidence,resolve conflict,erase file,clean up mess	Cause termination of the existence, the collocate word means "the base word of LiquFunc0 ceases to be experienced"
Oper1	perform abortion,meet accident,have ache,commit adultery,give advice,carry out airstrike,make analysis,draw conclusion,hold influence,enjoy recovery	Perform, do, act something; Represent a light verb linking the event's first participant (subject) with the event's name (direct object).
AntiMagn	slight accent,general account,young age,reluctant applause,poor argument,little attention,narrow gap,faint hope,cursory illustration,homely meal	Slight and weak degree, a de-intensifier; Weaken meaning intensity, diminishing the semantic relationship between the base lexeme and its associated concept.
AntiReal2	repel aggression,dismiss appeal,reject application,repulse attack,defy authority,call bluff,disregard complaint,fail exam,swallow insult,defy law	Not acting as expected; Something not be realized as expected; The value is negation of an internal element of the argument of this function.
CausFunc0	lead agreement,pose condition,brew coffee,create crisis,cause damage,set date,cause difficuties,hold elections,provide evidence,start fire	The agent does something so that the event denoted by the noun occurs; Do something so that base word begins occurring.
IncepPredPlus	blood pressure rises,concern grows,crisis deepens,influence increases,outrage grows,prices soar,gather strength,wind picks up,violence spirales,toll climbs	Start to increase., Denote the initiation of a process or action that leads to an increase or enhancement of something.
AntiBon	undue advantage,naked aggression,evil atmosphere,vicious attack,improper bargain,unethical behavior,rancid butter,lemon car,shabby clothes,gaudy color	A negative assessment or perception of something.
Real1	deliver address,ride anchor,keep appointment,hold arrest,flash award,carry bedpan,gain benefit,ride bicycle,fill in blank,push button	Fulfill a requirement imposed by the noun or performing an action typical for the noun; To fulfill the requirement of base word, to act according to base word.
AntiVer	groundless accusation,unprovoked aggression,baseless allegation,misguided approach,vain attempt,mistaken belief,unhealthy competition,harsh conditions,inadequate coverage,criticize unjustly	Non-genuine; Characterize something as non-genuine, not authentic, not in its intended or proper state, and not meeting the required standards or expectations.
Bon	fresh bread,brilliant career,fine compliment,mint condition,valuable contribution,fair criticism,sweet deal,healthy diet,heavenly dream,green energy	A positive evaluation or perception of something.
Ver	successful attempt,steady improvement,clear message,rightful owner,fair question,safe return,stable situation,speak fluently,plain truth,accurate source	Real, genuine; As it should be; Meet intended requirements.
Magn	heavy rain,bad accident,huge advantage,heady alcohol,thunderous applause,avid attention,enormous benefit,infinite capacity,powerful champion,violent clash	Intense, strong degree, an intensifier of semantic relation for base lexeme; Intensify the base lexeme to a high level, strengthening its semantic relation with the associated concept via the collocate lexeme.
